21:23:57  |  Core  |  Info  |  * Initialise: RenderManager  |  /home/mononofu/Programmieren/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  35
21:23:57  |  Core  |  Info  |  RenderManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  63
21:23:57  |  Core  |  Info  |  * Initialise: DataManager  |  /home/mononofu/Programmieren/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  26
21:23:57  |  Core  |  Info  |  DataManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  30
21:23:57  |  Core  |  Info  |  * Initialise: Gui  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  75
21:23:57  |  Core  |  Info  |  * MyGUI version 3.1.0  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  80
21:23:57  |  Core  |  Info  |  * Initialise: ResourceManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  48
21:23:57  |  Core  |  Info  |  ResourceManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  56
21:23:57  |  Core  |  Info  |  * Initialise: LayerManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  49
21:23:57  |  Core  |  Info  |  LayerManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  57
21:23:57  |  Core  |  Info  |  * Initialise: WidgetManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  70
21:23:57  |  Core  |  Info  |  WidgetManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  107
21:23:57  |  Core  |  Info  |  * Initialise: InputManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  57
21:23:57  |  Core  |  Info  |  InputManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  74
21:23:57  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  50
21:23:57  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  72
21:23:57  |  Core  |  Info  |  * Initialise: SkinManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  51
21:23:57  |  Core  |  Info  |  SkinManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  59
21:23:57  |  Core  |  Info  |  * Initialise: FontManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  48
21:23:57  |  Core  |  Info  |  FontManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  57
21:23:57  |  Core  |  Info  |  * Initialise: ControllerManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  46
21:23:57  |  Core  |  Info  |  ControllerManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  56
21:23:57  |  Core  |  Info  |  * Initialise: PointerManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  60
21:23:57  |  Core  |  Info  |  PointerManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  78
21:23:57  |  Core  |  Info  |  * Initialise: ClipboardManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  87
21:23:57  |  Core  |  Info  |  ClipboardManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  101
21:23:57  |  Core  |  Info  |  * Initialise: LayoutManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  45
21:23:57  |  Core  |  Info  |  LayoutManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  50
21:23:57  |  Core  |  Info  |  * Initialise: DynLibManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  41
21:23:57  |  Core  |  Info  |  DynLibManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  45
21:23:57  |  Core  |  Info  |  * Initialise: PluginManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  45
21:23:57  |  Core  |  Info  |  PluginManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  49
21:23:57  |  Core  |  Info  |  * Initialise: LanguageManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  45
21:23:57  |  Core  |  Info  |  LanguageManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  49
21:23:57  |  Core  |  Info  |  * Initialise: FactoryManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  39
21:23:57  |  Core  |  Info  |  FactoryManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  41
21:23:57  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  47
21:23:57  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  58
